Designator,Mid X,Mid Y,Rotation,Layer
S48,176.2125,-93.085,0.0,top
S49,195.2625,-93.085,0.0,top
S5,114.3,-35.935,0.0,top
S50,214.3125,-93.085,0.0,top
S51,233.3625,-93.085,0.0,top
S52,252.4125,-93.085,0.0,top
S53,288.13125,-93.085,0.0,top
S54,40.48125,-112.135,0.0,top
S55,64.29375,-112.135,0.0,top
S56,88.10625,-112.135,0.0,top
S57,159.54375,-112.135,0.0,top
S58,230.98125,-112.135,0.0,top
S59,254.79375,-112.135,0.0,top
S6,133.35,-35.935,0.0,top
S60,278.60625,-112.135,0.0,top
S61,302.41875,-112.135,0.0,top
S7,152.4,-35.935,0.0,top
S8,171.45,-35.935,0.0,top
S9,190.5,-35.935,0.0,top
U1,287.165,-13.99,270.0,top
